email_id,email_type,subject_hotness_score,email_source_type,customer_location,email_campaign_type,total_past_communications,time_email_sent_category,total_links,total_images
EMA00081000168000,1,0.3,2,Zacatecas,3,42,2,14,0
EMA00081000187610,1,1.3,2,Monterrey,2,32,1,26,11
EMA00081000244770,2,0.0,1,Veracruz,3,21,1,8,2
EMA00081000245260,1,2.3,1,Aguascalientes,2,25,3,9,5
EMA00081000264690,1,1.2,2,Ciudad de México,2,30,2,31,14
EMA00081000337110,1,0.1,2,Veracruz,3,25,2,31,-1
EMA00081000390580,2,0.3,1,Aguascalientes,1,0,1,1,0
EMA00081000445960,1,1.6,1,Zacatecas,2,1,1,11,3
EMA00081000581770,1,0.2,2,Zacatecas,2,33,2,21,2
EMA00081000587870,1,0.2,2,Zacatecas,3,23,2,2,0
EMA00081000687250,1,2.4,2,Aguascalientes,2,17,2,11,1
EMA00081001253450,1,0.0,1,San Luis,3,56,2,21,20
EMA00081001748000,2,0.5,1,Tijuana,2,41,1,4,1
EMA00081001796900,1,0.1,1,Guadalajara,3,1,3,21,8
EMA00081001883930,1,0.7,2,Veracruz,2,33,2,16,14
EMA00081001980260,1,2.2,1,Sinaloa,2,31,2,21,18
EMA00081002105120,1,0.9,2,Puebla,2,32,2,8,0
EMA00081002356960,1,0.3,1,Aguascalientes,3,32,2,9,8
EMA00081002624090,1,2.8,1,Monterrey,2,21,1,9,0
EMA00081002979120,1,1.2,2,Zacatecas,2,26,2,21,5
EMA00081003084980,1,0.1,1,Veracruz,3,45,1,28,18
EMA00081003287400,1,0.9,2,Sinaloa,2,60,2,36,-1
EMA00081003358300,1,0.7,1,Guadalajara,2,40,3,16,3
EMA00081003784910,1,1.2,1,Tijuana,2,1,2,6,0
EMA00081003872250,1,3.1,2,Guadalajara,2,9,3,21,2
EMA00081004026580,2,0.0,1,Guadalajara,1,0,2,1,0
EMA00081004165760,1,0.1,2,Veracruz,1,0,2,1,0
EMA00081004487970,1,3.1,1,Guadalajara,2,21,2,4,0
EMA00081004700990,1,1.3,2,Veracruz,2,26,3,7,0
EMA00081004734150,1,0.4,1,Guadalajara,2,28,3,31,28
EMA00081004931360,2,2.6,1,Sinaloa,2,8,2,3,0
EMA00081005095020,1,2.5,2,Zacatecas,2,20,2,4,0
EMA00081005299400,1,0.3,2,Sinaloa,3,10,3,4,0
EMA00081005462090,1,1.8,1,Ciudad de México,2,32,2,6,0
EMA00081005490200,1,0.4,2,Veracruz,2,29,2,26,9
EMA00081005709420,1,1.3,2,Puebla,2,35,2,14,0
EMA00081006296720,2,0.3,1,Monterrey,3,45,2,11,7
EMA00081006338140,1,0.3,2,Tijuana,3,42,3,11,0
EMA00081006454150,1,0.1,2,Aguascalientes,3,1,2,14,8
EMA00081006515590,2,0.4,1,Ciudad de México,2,30,2,11,0
EMA00081006589950,2,1.1,1,Guadalajara,2,1,2,14,0
EMA00081006932110,1,1.6,2,Puebla,2,32,2,14,7
EMA00081006985050,1,0.3,1,Guadalajara,3,10,1,6,3
EMA00081007257180,1,1.7,2,Veracruz,2,34,2,8,7
EMA00081007340860,1,1.6,1,Puebla,2,34,2,4,0
EMA00081007348530,2,0.1,2,Puebla,3,39,3,6,0
EMA00081007784850,1,4.1,1,Zacatecas,2,10,2,4,1
EMA00081008167500,1,1.8,1,Guadalajara,2,25,2,9,0
EMA00081008275850,1,0.8,1,Puebla,2,43,2,21,-1
EMA00081008517920,1,1.4,1,Zacatecas,2,32,2,11,0
EMA00081008651870,2,0.5,1,San Luis,2,1,2,24,19
EMA00081008660090,2,2.0,1,Tijuana,2,20,3,3,-1
EMA00081008720530,1,0.0,1,Guadalajara,3,30,2,9,0
EMA00081009041530,2,1.2,1,San Luis,2,15,2,11,9
EMA00081009230400,2,0.1,1,Ciudad de México,1,0,2,1,0
EMA00081009789300,1,0.0,1,Sinaloa,3,52,2,21,19
EMA00081009903570,1,1.1,2,San Luis,2,26,2,11,2
EMA00081010158440,2,2.1,1,San Luis,2,16,1,5,-1
EMA00081010349970,1,2.8,1,Ciudad de México,2,21,3,4,0
EMA00081010353680,2,3.7,1,Ciudad de México,2,12,2,6,0
EMA00081010379610,1,0.8,2,Tijuana,2,30,2,8,0
EMA00081010458660,2,2.4,1,Ciudad de México,2,11,2,11,0
